Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.27015000000000000568e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.54916000028606504202e+002	1	1
1.27007000000000005002e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.55176000028615817428e+002	1	1
1.27037999999999996703e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.55441000028629787266e+002	1	1
1.26995000000000004547e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.55701000028639100492e+002	1	1
1.26995000000000004547e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.55961000028648413718e+002	1	1
1.26986999999999994770e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.56221000028657726943e+002	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.56481000028667040169e+002	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.56745000028633512557e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.57005000028642825782e+002	1	1
1.26957999999999998408e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.57266000028583221138e+002	1	1
1.27024000000000000909e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.57526000028592534363e+002	1	1
1.26980999999999994543e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.57788000028580427170e+002	1	1
1.26963999999999998636e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.58049000028637237847e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.58308000028599053621e+002	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.58568000028608366847e+002	1	1
1.26957999999999998408e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.17879999999999967031e+001	0.00000000000000000000e+000	-8.14515371469120088872e-006	0.00000000000000000000e+000	6.61113161372938802656e-006	0.00000000000000000000e+000	7.58829000028665177524e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.59099000028567388654e+002	1	1
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.59360000028624199331e+002	1	1
